1|Discover Belgrade|Explore Belgrade's hidden gems and rich cultural heritage.|serbian|Belgrade|1|2|https://images.pexels.com/photos/10986493/pexels-photo-10986493.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
2|Explore the Best of London|Experience the highlights of London's iconic landmarks and vibrant culture.|english|London|2|3|https://images.pexels.com/photos/326807/pexels-photo-326807.jpeg
3|Hidden Gems of Rome|Uncover the enchanting hidden treasures of Rome's attractions.|italian|Rome|3|4|https://images.pexels.com/photos/3021382/pexels-photo-3021382.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
4|A Culinary Adventure in Mumbai|Embark on a journey through the flavors of Mumbai.|indian|Mumbai|4|5|https://images.pexels.com/photos/1007426/pexels-photo-1007426.jpeg
5|History Walk: Vatican|Immerse yourself in the rich history of the Vatican.|italian|Rome|5|4|https://images.pexels.com/photos/326709/pexels-photo-326709.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
6|Danube River Cruise|Enjoy a leisurely cruise along the picturesque Danube River.|serbian|Novi Sad|4|3|https://images.pexels.com/photos/326840/pexels-photo-326840.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
7|New York - Just Perfect|Experience the perfect blend of culture, diversity, and excitement.|english|New York|6|2|https://images.pexels.com/photos/290386/pexels-photo-290386.jpeg
8|New Era - Berlin|Explore the vibrant and dynamic atmosphere of Berlin.|german|Berlin|2|1|https://images.pexels.com/photos/1963082/pexels-photo-1963082.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
9|Center of Culture - Paris|Immerse yourself in the heart of culture and art in Paris.|french|Paris|7|2|https://images.pexels.com/photos/1308940/pexels-photo-1308940.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
10|Marseille - Let's Go|Get ready for an exciting adventure in Marseille.|french|Marseille|6|3|https://images.pexels.com/photos/7883777/pexels-photo-7883777.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
